Fauna,Credit,Twitter,Page,Direction,Family
Apatosaurus ajax,Scott Hartman,skeletaldrawing,http://phylopic.org/image/03eee81f-62db-46cf-ac83-6a2368561fad/,L,Dinosaur
Diplodocus,Scott Hartman,skeletaldrawing,http://phylopic.org/image/3cb1d5bf-7db5-4db2-82a6-4c39f6a4441b/,L,Dinosaur
Shenzhouraptor sinensis,Scott Hartman,skeletaldrawing,http://phylopic.org/image/a6107d5f-1e70-437b-bf6f-5b4e8caaa55b/,L,Dinosaur
Ichthyostega,Scott Hartman,skeletaldrawing,http://phylopic.org/image/f002b543-ff02-4f15-8fb5-49d150c287e7/,L,Tetrapodomorph
Brachyceratops,Scott Hartman,skeletaldrawing,http://phylopic.org/image/d62804c8-0a2e-434d-aedb-cad3c9a9e99c/,L,Ceratopsian
Baurusuchus,"Smokeybjb, vectorized by Zimices",,http://phylopic.org/image/734ef782-b204-4fad-8e70-7190731b8237/,L,
Stomatosuchus,"Stanton F. Fink, vectorized by Zimices",,http://phylopic.org/image/f7d45c6d-e506-4826-8ffe-3f75d588d378/,R,Crocodyliform
Coelodonta antiquitatis,Steven Traver,,http://phylopic.org/image/e6d3526b-9ce9-4144-96e0-b2587b4c6a74/,L,
Desmatosuchus,Steven Traver,,http://phylopic.org/image/77736ac8-c667-4649-b2a9-fa9e701cdafb/,L,
Megaloceros,Steven Traver,,http://phylopic.org/image/a85b378b-2287-4cf1-a0f1-0ad53cd56f56/,C,
Raphus,Steven Traver,,http://phylopic.org/image/01bbffec-312c-493a-bcd3-e9361ed3435d/,L,
Vulpes,Steven Traver,,http://phylopic.org/image/51b1b6e4-129d-41a6-bbbd-c3fab459c25f/,L,
Deinocheirus,T. Michael Keesey,tmkeesey,http://phylopic.org/image/79676d45-ee23-469a-be96-2d79acfe6dcb/,L,
Miragaia longicollum,T. Michael Keesey,tmkeesey,http://phylopic.org/image/38b85ee7-b89e-4fef-aab5-25ec4781c7e4/,L,
Struthio,T. Michael Keesey,tmkeesey,http://phylopic.org/image/a8a6b7b8-eeea-4faa-992d-cdbd64edda3c/,L,
Suminia,T. Michael Keesey,tmkeesey,http://phylopic.org/image/81dd6d73-4009-4c15-b7bc-dbb67f677538/,L,Anomodont
Callorhinchus,Tambja (vectorized by T. Michael Keesey),tmkeesey,http://phylopic.org/image/ca376e77-d339-4dcc-9719-b09d346eee34/,L,
Araripesuchus,"Todd Marshall, vectorized by Zimices",,http://phylopic.org/image/2ff63c9f-f1c3-4cbf-9396-d6038d1cb9c1/,R,
Coelodonta,Zimices,,http://phylopic.org/image/917167d9-1ead-4f9b-b19d-c0afd39357b0/,L,
Doedicurus,Zimices,,http://phylopic.org/image/57ac54dc-3e7a-4661-b75c-5bbc09248b83/,L,
Dromornis,Zimices,,http://phylopic.org/image/851a3de9-f4a4-4baf-b6ee-4c63588d643b/,L,
Granastrapotherium,Zimices,,http://phylopic.org/image/06c83fdc-961a-4691-8f80-035117e5258d/,L,
Ictitherium,Zimices,,http://phylopic.org/image/66dcc718-b94d-4a15-bfc5-1914b71b24ea/,L,
